Strain	Chr1	Chr2	Chr3	Chr4	Chr5	Chr6	Chr7	Chr8	Chr9	Chr10
2566	16.03	15.92	15.97	15.95	16.15	329.48	27.49	3.91	71.92	1.77
3490	158.49	158.24	157.69	158.97	157.35	3908.02	173.63	33.98	362.69	11.14
3796	68.57	68.23	68.19	68.25	67.87	1069.22	88.00	16.40	128.55	4.42
4542	38.34	38.53	38.08	38.14	39.09	499.09	51.52	9.37	81.29	2.49
4545-MICE	161.65	161.12	161.54	161.94	161.03	2046.32	206.94	41.31	281.81	15.58
4545	52.79	52.49	52.63	52.55	52.18	1093.05	67.91	12.17	103.44	3.22
730332_Guatemala	21.75	21.77	21.78	21.77	22.28	78.63	32.99	5.43	55.66	0.17
730333_Guatelama	19.97	20.02	19.98	19.91	20.30	243.74	28.25	4.63	49.95	0.29
730334_Guatemala	28.76	28.91	28.98	28.92	28.86	556.95	24.38	6.00	80.02	0.38
B0858_Guatemala	37.52	37.15	37.65	37.19	37.99	705.48	56.94	8.38	86.41	0.24
B10757_Nevada	33.35	33.33	33.56	33.91	33.89	479.14	40.62	7.51	94.64	0.16
B10813_Texas	64.81	64.47	64.68	64.37	65.06	542.75	64.80	14.90	171.55	0.23
B1249_Guatemala	36.44	36.57	36.59	36.59	37.12	1046.26	54.02	8.98	59.11	0.17
B5773_Brazil	32.92	33.10	33.20	33.14	32.97	621.22	27.09	8.29	75.14	0.23
Beeville	10.87	10.91	10.84	10.79	11.09	234.12	10.59	2.90	24.52	0.22
Coahuila_2	86.58	86.44	86.56	86.60	86.88	3144.91	91.72	21.12	212.71	8.59
Colorado_Springs_1	58.09	58.18	57.82	58.05	58.08	962.04	51.46	15.20	131.84	5.58
GT002_Texas	48.01	48.67	48.81	47.95	47.91	699.84	33.80	12.03	58.58	0.76
GT017_Paraguay	23.61	23.96	23.73	23.27	23.56	653.70	19.00	7.03	39.88	0.32
GT120	89.19	88.56	88.75	88.00	88.68	988.18	101.32	21.11	288.88	5.56
GT162	16.98	16.85	16.82	16.79	16.66	66.57	31.20	4.45	89.78	2.41
JTORRES	75.88	75.32	75.46	75.77	75.74	976.85	103.80	19.97	181.22	7.45
Michoacan_1	54.46	54.34	54.36	54.73	54.51	1382.07	71.91	15.71	149.94	0.42
Nuevo_Leon_1	40.44	40.54	40.68	40.37	40.73	1297.27	45.55	11.57	172.25	0.31
Nuevo_Leon_2	60.29	60.19	60.34	59.95	60.02	1744.97	66.93	18.16	169.05	1.03
Phoenix_1	34.53	34.55	34.64	34.67	34.40	435.08	50.34	8.71	76.85	3.03
Phoenix_2	77.19	77.14	77.21	77.14	77.48	865.43	89.22	19.13	186.55	7.42
Phoenix_3	67.75	67.75	67.84	67.57	67.48	689.05	91.98	18.38	215.62	6.76
Phoenix_4	42.73	42.85	43.02	42.83	42.99	493.65	52.90	10.59	103.08	2.92
Phoenix_5	59.32	59.28	59.22	59.44	59.29	534.30	79.25	13.91	230.95	6.12
Phoenix_6	33.06	33.03	33.12	33.11	33.53	409.42	53.83	8.47	109.55	3.21
