Strain	Chr1	Chr2	Chr3	Chr4	Chr5	Chr6	Chr7	Chr8	Chr9	Chr10
2566	16.06	16.02	16.04	16.06	16.30	297.12	31.38	4.96	66.20	1.77
3490	157.76	157.55	157.27	158.40	159.82	3542.71	171.59	45.95	335.19	11.14
3796	68.38	67.84	68.25	68.39	67.72	965.47	79.84	20.15	118.31	4.42
4542	38.39	38.62	38.14	38.16	39.20	456.75	47.18	11.95	72.95	2.49
4545-MICE	162.01	161.06	161.25	161.62	162.28	1877.82	180.26	51.50	255.63	15.58
4545	52.79	52.39	52.59	52.51	53.85	1009.64	62.15	15.88	93.72	3.22
730332_Guatemala	21.80	21.83	21.79	21.84	22.45	79.28	29.99	5.31	52.15	0.17
730333_Guatelama	19.96	20.06	19.96	19.94	20.47	222.72	25.91	4.81	46.20	0.29
730334_Guatemala	28.68	28.82	28.94	28.78	28.88	495.72	36.33	6.92	72.52	0.38
B0858_Guatemala	37.57	37.20	37.53	37.16	38.16	631.52	46.97	8.46	77.33	0.24
B10757_Nevada	33.25	33.29	33.45	33.58	33.80	427.81	39.27	7.98	86.63	0.16
B10813_Texas	64.49	64.17	64.57	64.71	63.84	492.88	75.26	15.00	155.83	0.23
B1249_Guatemala	36.56	36.69	36.55	36.92	37.58	890.88	45.85	8.42	52.73	0.17
B5773_Brazil	32.82	33.11	33.16	33.23	32.92	539.50	35.34	8.11	67.03	0.23
Beeville	10.85	10.87	10.88	10.83	11.05	210.11	10.65	2.81	21.48	0.22
Coahuila_2	86.78	86.51	86.70	86.46	86.36	2888.39	93.73	27.75	191.81	8.59
Colorado_Springs_1	58.02	58.09	57.80	58.09	58.30	913.23	53.47	19.09	116.22	5.58
GT002_Texas	48.02	48.45	48.60	47.63	47.53	613.08	35.21	11.63	53.42	0.76
GT017_Paraguay	23.74	23.83	23.86	23.41	23.79	571.89	20.68	5.83	34.41	0.32
GT120	88.84	88.31	88.44	87.76	88.94	951.51	119.59	27.88	263.85	5.56
GT162	16.90	16.87	16.84	17.00	17.02	68.08	34.22	5.75	82.84	2.41
JTORRES	75.84	75.28	75.57	75.69	77.10	888.97	95.63	24.12	166.56	7.45
Michoacan_1	54.31	54.46	54.37	54.82	54.04	1257.61	73.06	14.79	134.62	0.42
Nuevo_Leon_1	40.50	40.59	40.75	40.35	40.66	1148.65	66.16	11.44	154.16	0.31
Nuevo_Leon_2	60.16	60.11	60.05	59.77	59.56	1558.31	79.33	16.45	150.06	1.03
Phoenix_1	34.39	34.48	34.58	34.67	34.38	397.62	37.88	10.84	69.13	3.03
Phoenix_2	77.19	77.02	77.15	76.92	77.28	786.87	90.16	25.51	170.04	7.42
Phoenix_3	67.71	67.72	67.85	67.45	67.39	628.50	98.10	22.24	195.91	6.76
Phoenix_4	42.64	42.94	42.89	42.83	43.13	459.81	50.77	13.73	97.40	2.92
Phoenix_5	59.13	59.48	59.26	59.32	59.52	497.26	93.16	19.33	210.97	6.12
Phoenix_6	33.07	33.05	33.00	33.07	33.18	370.50	49.15	10.73	100.02	3.21
Phoenix_7	43.88	43.80	43.95	43.96	43.73	548.61	89.13	14.42	210.51	4.23
Phoenix_8	36.23	36.11	36.16	36.11	36.37	380.53	51.05	11.95	112.24	2.70
Phoenix_9	44.36	44.47	44.39	44.50	44.49	440.98	62.71	14.18	134.81	4.30
San_Antonio_1	70.04	69.94	70.11	69.96	69.55	960.99	75.49	22.59	139.15	6.00
Sonora_1	37.57	37.55	37.58	37.90	37.59	829.00	40.73	11.98	78.61	3.56
Sonora_2	26.17	26.18	26.12	26.30	26.24	575.81	35.82	8.58	80.34	2.06
Tucson_1	54.45	54.60	54.54	54.59	54.60	574.72	73.39	18.21	151.95	4.66
Tucson_10	87.84	87.40	87.72	87.08	88.21	1211.27	100.77	28.37	180.58	8.30
